name,location,weekday,time
巨蟻女皇,螞蟻洞窟,"0,1,2,3,4",17:00
塔坤,火龍窟-地底城地監,"1,3,5",17:00
安塔瑞斯,地龍窟,"3",20:00
哈汀,,"3",20:00
古拉,炎魔5樓,"1,3",20:00
墮落,火焰8,"4",22:30
惡魔,炎魔8,"4",22:30
歐西里斯,歐西里斯祭壇,"3",20:00
不死鳥,火龍窟-不死鳥森林,"0,2,4,6",17:00
大黑長者,龍之谷地監第六層,"2",18:45
蜈蚣,伊娃王國地監第二層-巨大蜈蚣棲息地,"3",19:30
法令軍王蕾雅,黑魔法研究室,"0,1",21:30
冥法軍王海露拜,惡魔之路祭壇,"0,1",21:30
暗殺軍王史雷佛,地下競技場,"0,1",21:30
魔獸軍王巴蘭卡,突擊隊訓練場,"0,1",21:30
亞力安王,遺忘,"2,4",21:10
古代巨人,黃昏山脈,"5,6",17:50
杰佛雷庫,提卡爾寺院-庫庫爾坎祭壇,"4",22:00
扭曲的席琳,席琳聖所,"5",23:00
梅塔特隆,,"5",21:00
古代守護者,遺忘-古代封印地,"4",21:10
死亡,火焰5樓,"0,2",20:00
迪亞勒,,"6",21:30
漆黑死騎,,"6",21:40
鐮刀死神,,"5",20:00
守護騎士,,"3",20:00
馬托爾,火龍窟-地底城地監,"0,1,2,3,4,5,6",17:00
冰之女王,,"1",20:00
冰之女王幻影,,"0,1,2,3,4,5,6",17:00
亡靈可利波斯,中央廣場,"0,1",21:40
